,ALC_mg/L,CONDUCT_mS/cm,SDT_M_mg/L,FLUORUROS_mg/L,DUR_mg/L,COLI_FEC_NMP/100_mL,N_NO3_mg/L,AS_TOT_mg/L,CD_TOT_mg/L,CR_TOT_mg/L,HG_TOT_mg/L,PB_TOT_mg/L,MN_TOT_mg/L,FE_TOT_mg/L
99,273.75,1431.0,915.8,1.4156,261.2926,2613.0,8.59419,0.009,0.002,0.004,0.0004,0.004,0.0033,0.0768
100,127.02,301.0,209.6667,4.2962,19.0,759.0,0.784477,0.009,0.002,0.0067,0.0004,0.004,0.0015,0.0716
101,89.79,552.0,372.8,1.4242,154.3776,1.0,8.146419,0.009,0.002,0.0055,0.0004,0.004,0.0014,0.052
102,185.055,1891.0,1893.0,1.4171,1100.4352,31.0,0.3794,0.009,0.002,0.004,0.0004,0.004,0.0379,1.458
103,221.19,777.0,543.8,1.3668,231.5664,19863.0,8.862783,0.009,0.002,0.0069,0.0004,0.004,0.0014,0.0437
104,356.97,1248.0,788.6,2.42,19.0,1.0,0.441508,0.0928,0.002,0.004,0.0004,0.004,0.0017,0.0441
105,75.555,2020.0,2146.3333,3.0621,997.3,1.0,13.007807,0.0363,0.002,0.004,0.0004,0.004,0.0014,0.024
106,110.595,1931.0,1402.0,0.5081,398.92,1.0,16.082471,0.0163,0.002,0.004,0.0004,0.004,0.0014,0.024
107,226.665,2580.0,2049.8,0.7144,546.5204,759.0,12.403114,0.0393,0.002,0.004,0.0004,0.004,0.0016,0.024
108,284.48,561.0,389.2,0.8732,280.5618,1.0,1.270051,0.0176,0.002,0.004,0.0004,0.004,0.0014,0.024
109,128.115,867.0,558.0,1.0391,127.6544,1.0,1.146584,0.2549,0.002,0.004,0.0004,0.004,0.0014,0.024
110,262.8,1391.0,1232.3333,1.7093,708.083,1.0,3.403173,0.0679,0.002,0.004,0.0004,0.004,0.0014,0.0327
111,136.875,1411.0,981.4,1.8523,217.4114,1.0,2.697982,0.1212,0.002,0.004,0.0004,0.004,0.0014,0.024
112,174.105,1810.0,946.4,4.855,291.2116,24196.0,0.01,0.1468,0.002,0.004,0.0004,0.004,0.0604,1.606
113,256.41,697.0,489.2,0.7535,346.1556,1.0,5.12073,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024
114,361.35,1539.0,1207.2,0.4503,698.11,110.0,16.647909,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024
115,293.04,1442.0,937.8,0.3951,439.6574,121.0,31.627292,0.009,0.002,0.004,0.0004,0.004,0.0067,2.187
116,593.49,1118.0,674.2,2.7784,19.0,10.0,0.033739,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024
117,399.6,1069.0,614.2,1.3811,316.3146,41.0,0.727569,0.009,0.002,0.004,0.0004,0.004,0.0628,1.304
118,248.565,476.0,287.2,0.1,253.3376,1.0,1.942889,0.009,0.002,0.004,0.0004,0.004,0.0014,0.1051
119,428.46,8300.0,7746.0,0.6128,3302.404,20.0,62.958746,0.009,0.002,0.0052,0.0004,0.004,0.0325,5.017
120,157.62,2182.0,1621.4,0.3326,779.8448,1.0,6.47142,0.009,0.002,0.004,0.0004,0.004,0.0148,0.024
121,370.11,1203.0,885.2,0.356,534.5528,1.0,6.168069,0.009,0.002,0.004,0.00072,0.004,0.0014,0.024
122,194.25,1568.0,404.4,0.4365,159.152,160.0,0.01,0.009,0.002,0.004,0.0004,0.004,0.0105,0.0732
123,204.24,958.0,906.2,0.2229,584.8836,122.0,13.432389,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024
124,26.64,6670.0,8230.4,1.8388,2001.96,243.0,69.881322,0.0702,0.002,0.004,0.0004,0.004,0.0077,0.1678
125,188.955,4100.0,3234.2,2.8058,1790.46,1.0,1.313296,0.0133,0.002,0.004,0.0004,0.004,0.0047,0.0823
126,125.35,3690.0,2989.4,3.1483,1484.1816,1.0,24.695129,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024
127,202.74,1608.0,1206.4,0.3113,595.26,1.0,2.202746,0.009,0.002,0.004,0.0004,0.004,0.0078,0.1881
128,285.27,2770.0,2401.8,1.0733,1253.322,1483.0,6.49689,0.009,0.002,0.004,0.0004,0.004,0.0014,0.0556
129,193.14,3340.0,2411.2,1.0062,815.654,20.0,24.223198,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024
130,197.58,2510.0,1462.6,0.6646,660.4808,1.0,3.777738,0.009,0.002,0.004,0.0004,0.004,0.0076,0.2764
131,238.65,1204.0,838.4,0.5682,352.1238,1.0,2.767756,0.009,0.002,0.0533,0.0004,0.004,0.0014,0.1859
132,271.95,2113.0,1427.8,0.5202,746.025,1.0,5.509468,0.009,0.002,0.004,0.0004,0.004,0.0105,0.3537
133,196.47,1698.0,1047.2,0.6458,360.0814,20.0,2.949366,0.009,0.002,0.004,0.0004,0.004,0.0014,0.0681
134,328.56,3350.0,2886.8,0.703,1661.149,448.0,5.556083,0.009,0.002,0.004,0.0006,0.004,0.005,0.1863
135,380.73,3610.0,2884.2,0.8908,1432.368,10.0,3.664124,0.009,0.002,0.004,0.0004,0.004,0.0049,0.3135
136,377.4,1163.0,1303.2,0.4994,956.16,1.0,8.637597,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024
137,346.32,1935.0,1500.2,0.6351,911.1452,1.0,4.808471,0.009,0.002,0.004,0.0004,0.004,0.0014,0.0283
138,382.95,1159.0,1381.6667,0.3275,816.72,1.0,2.242472,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024
139,357.42,1659.0,1320.2,0.4336,755.972,1.0,0.174416,0.009,0.002,0.004,0.0004,0.004,0.084,0.0471
140,441.78,2172.0,1924.8,0.3769,1062.3396,1.0,0.680593,0.009,0.002,0.004,0.0004,0.004,0.0729,0.0678
141,283.05,699.0,492.0,0.2486,342.1768,10.0,2.656609,0.009,0.002,0.0056,0.0004,0.004,0.0014,0.024
142,258.63,672.0,406.3333,0.2918,278.516,7270.0,0.01,0.009,0.002,0.0098,0.0004,0.004,0.0024,0.1001
143,313.02,596.0,482.6,0.3092,332.2298,1.0,0.65157,0.009,0.002,0.004,0.0004,0.004,0.0019,0.0686
144,255.3,400.0,340.8,0.2918,290.832,1.0,0.475403,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024
145,273.06,1502.0,1226.6,0.4341,728.1204,530.0,4.59157,0.009,0.002,0.004,0.0004,0.004,0.0034,0.1271
146,206.46,2141.0,1662.4,0.3751,545.0956,1.0,21.20284,0.009,0.002,0.004,0.0004,0.004,0.0014,0.0496
147,292.365,1294.0,853.0,0.3901,482.9248,1.0,11.667105,0.009,0.002,0.004,0.0004,0.004,0.0043,0.024
148,336.33,1781.0,1269.2,0.5519,580.9048,1.0,9.126046,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024
149,399.6,2078.0,1382.2,0.7375,616.714,1.0,2.629179,0.009,0.002,0.004,0.0004,0.004,0.0059,0.1171
150,318.57,1901.0,1325.8,0.7375,746.025,1.0,5.757647,0.009,0.002,0.004,0.00056,0.004,0.0014,0.024
151,237.54,2890.0,2169.2,0.4416,994.7,2247.0,16.711612,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024
152,210.37,1718.0,1482.0,1.2231,861.1428,1.0,3.610535,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024
153,234.35,566.0,434.2,0.1,281.018,2613.0,0.402795,0.009,0.002,0.004,0.0004,0.004,0.003,0.1078
154,223.45,877.0,612.0,0.4026,285.7248,1291.0,1.508512,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024
155,446.9,9740.0,3980.6,0.5536,1025.122,246.0,0.01,0.009,0.002,0.004,0.0004,0.004,0.9331,1.233
156,87.69,498.0,330.0,0.3651,159.152,175.0,4.773358,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024
157,188.57,545.0,351.8,0.2601,160.299,2613.0,0.594546,0.009,0.002,0.004,0.0004,0.004,0.0017,0.0281
158,225.42,976.0,646.4,0.3693,327.393,52.0,0.731507,0.009,0.002,0.004,0.0004,0.004,0.2394,0.024
159,121.55,553.0,318.4,0.1,148.815,2359.0,5.789647,0.009,0.002,0.004,0.0004,0.049,0.0054,0.2952
160,321.555,1333.0,879.2,0.4841,476.5748,1.0,0.439705,0.009,0.002,0.004,0.00086,0.004,0.2847,0.2201
161,327.08,1178.0,804.8,0.3326,438.9244,1291.0,0.186126,0.009,0.002,0.004,0.00058,0.004,0.3098,0.0417
162,179.01,749.0,506.6,0.2718,232.838,1607.0,0.01,0.009,0.002,0.004,0.0004,0.004,0.0447,0.14
163,221.0,1129.0,792.0,0.335,355.6972,31.0,0.01,0.009,0.002,0.004,0.0004,0.004,0.0732,0.076
164,175.38,845.0,593.8,0.1,308.76,31.0,3.344094,0.009,0.002,0.004,0.0004,0.004,1.371,0.0448
165,226.525,899.0,640.8,0.2712,333.3456,1.0,1.956456,0.009,0.002,0.004,0.0004,0.004,0.0014,0.1259
166,256.15,1051.0,1740.0,0.4142,367.077,2755.0,1.907717,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024
167,188.57,967.0,734.4,0.2439,492.0816,1.0,1.724928,0.009,0.002,0.004,0.0004,0.004,0.0036,0.6217
168,200.005,292.0,688.8,0.2822,307.148,120.0,0.111524,0.009,0.002,0.004,0.0004,0.004,0.0314,0.1068
169,69.93,555.0,261.8,0.1,73.704,1.0,7.92116,0.009,0.002,0.004,0.0004,0.004,0.0014,0.0334
170,306.29,804.0,489.6,0.2518,323.4246,3873.0,1.129143,0.009,0.002,0.004,0.0004,0.004,0.2528,1.477
171,170.04,470.0,290.2,0.2065,160.7202,1.0,1.47118,0.009,0.002,0.004,0.0004,0.004,0.0122,0.024
172,260.61,965.0,695.3333,0.1,358.56,40.0,12.066164,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024
173,189.81,813.0,533.3333,0.3086,290.4524,8161.0,4.430198,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024
174,116.63,881.0,597.8,0.1,238.104,1.0,5.18212,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024
175,160.23,1294.0,550.4,0.2626,376.998,21.0,16.531688,0.009,0.002,0.004,0.0004,0.004,0.0025,0.0426
176,315.01,1149.0,748.8,0.508,432.5556,1.0,10.746557,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024
177,237.62,1407.0,1013.4,0.3115,430.5714,2359.0,8.037818,0.009,0.002,0.004,0.0004,0.004,0.0061,0.1183
178,283.4,1447.0,878.2,0.3768,382.9506,2613.0,3.030487,0.009,0.002,0.004,0.0004,0.004,0.0053,0.0667
179,201.65,1110.0,306.8,1.8562,83.3364,1.0,0.620947,0.0441,0.002,0.004,0.0004,0.004,0.0014,0.024
180,222.0,499.0,449.4,2.4063,288.9632,1.0,3.434833,0.009,0.002,0.004,0.0004,0.004,0.0183,0.0515
181,226.525,869.0,529.8,1.1393,136.9098,1.0,4.930892,0.05,0.002,0.004,0.0004,0.004,0.0027,0.024
182,215.34,849.0,422.3333,2.6279,19.0,1.0,2.303252,0.1318,0.002,0.004,0.0004,0.004,0.0014,0.0529
183,349.305,568.0,534.2,5.1765,184.0656,1.0,4.535014,0.0692,0.002,0.004,0.0004,0.004,0.0014,0.0306
184,315.24,640.0,473.6,7.1332,41.5632,1.0,0.076386,0.0129,0.002,0.004,0.0004,0.004,0.0014,0.024
185,299.7,578.0,419.6,2.6814,19.0,1.0,3.059287,0.0297,0.002,0.004,0.0004,0.004,0.0014,0.024
186,528.36,873.0,693.6,4.7779,61.3552,1.0,3.399203,0.0277,0.002,0.0131,0.0004,0.004,0.0309,0.175
187,275.94,454.0,492.0,1.3633,91.0432,10.0,4.472994,0.009,0.002,0.004,0.0004,0.004,1.057,0.024
188,204.765,308.0,292.0,0.7303,19.0,1.0,2.253816,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024
189,313.17,438.0,380.3333,3.1583,37.6048,10.0,1.815295,0.0401,0.002,0.004,0.0004,0.004,0.0014,0.024
190,147.63,350.0,211.0,1.3433,25.7296,131.0,0.759527,0.0625,0.002,0.004,0.0004,0.004,0.0014,0.024
191,170.82,275.0,378.0,1.3956,41.7858,1.0,3.685935,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024
192,118.26,194.0,266.0,1.4524,19.0,1.0,1.131966,0.0468,0.002,0.004,0.0004,0.004,0.0016,0.2661
193,185.055,339.0,490.3333,0.4961,148.44,1.0,8.576137,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024
194,164.25,285.0,378.6667,1.2269,57.3968,1.0,3.60212,0.009,0.002,0.004,0.0004,0.004,0.0014,0.0295
195,193.815,270.0,333.0,0.5759,87.0848,1.0,1.331649,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024
196,155.49,308.0,417.0,1.9817,33.6464,1.0,0.357786,0.0287,0.002,0.004,0.0004,0.004,0.0014,0.024
197,210.24,1309.0,838.2,1.4556,319.136,1.0,5.19314,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024
198,210.24,1070.0,735.2,0.8164,339.082,1.0,11.487918,0.009,0.002,0.004,0.0004,0.004,0.0014,0.024
